id,item_id,invoice_id,quantity,unit_price,created_at,updated_at
31,1865,6,2,50369,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
32,1853,6,1,25717,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
33,1871,6,1,34423,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
34,984,7,4,59584,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
35,970,7,9,97851,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
36,986,7,9,54689,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
37,969,7,2,45518,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
38,848,8,2,50051,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
39,848,8,5,50051,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
40,849,8,2,35772,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
41,847,8,2,70783,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
42,849,8,8,35772,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
43,847,8,9,70783,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
44,847,8,7,70783,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
45,847,8,7,70783,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
46,543,9,10,6056,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
47,547,9,4,48582,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
48,548,9,5,29744,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
49,2061,10,4,17154,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
50,2055,10,6,54368,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
51,2087,10,3,80725,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
52,2089,10,4,98668,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
53,2059,10,6,47367,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
54,1404,11,7,62086,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
55,1423,11,2,40187,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
56,150,12,2,78031,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
57,127,12,2,41702,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
58,156,12,6,71340,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
59,160,12,6,7196,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
60,127,12,3,41702,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
61,134,12,8,22546,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
62,719,13,4,6345,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
63,710,13,8,84928,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
64,712,13,10,84803,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
65,718,13,5,12098,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
66,721,13,2,3024,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
67,978,14,9,45253,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
68,974,14,4,67760,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
69,978,14,3,45253,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
70,983,14,1,55096,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
71,987,14,8,63465,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
72,981,14,3,2126,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
73,969,14,7,45518,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
74,972,14,6,91298,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
75,2039,15,7,75637,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
76,2030,15,7,74285,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
77,2032,15,4,45339,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
78,2037,15,1,89480,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
79,2029,15,3,82413,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
80,2027,15,1,93831,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
81,2041,15,8,92302,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
82,2037,15,8,89480,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
83,543,16,4,6056,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
84,227,17,6,85319,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
85,227,17,10,85319,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
86,227,17,6,85319,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
87,227,17,7,85319,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
88,1147,18,2,88660,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
89,1161,18,3,82821,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
90,1175,18,5,46317,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
91,1164,18,6,35891,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
92,1165,18,7,66599,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
93,1162,18,5,82819,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
94,1162,18,8,82819,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
95,1991,19,6,40767,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
96,2010,19,8,48177,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
97,1993,19,7,69590,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
98,205,20,7,98947,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
99,203,20,3,99465,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
100,201,20,2,77409,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
101,206,20,1,78612,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
102,201,20,1,77409,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
103,2184,21,4,50976,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
104,2178,21,6,96110,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
105,2183,21,8,70021,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
106,2190,21,10,79619,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
107,2209,21,5,26615,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
108,2209,21,3,26615,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
109,1928,22,1,5488,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
110,1923,22,5,83466,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
111,1925,22,7,81647,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
112,1924,22,9,74641,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
113,1927,22,10,88937,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
114,1926,22,2,70356,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
115,1926,22,4,70356,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
116,2213,23,6,90972,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
117,286,24,5,33554,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
118,305,24,4,49203,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
119,2071,25,10,20539,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
120,2086,25,9,75644,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
121,2064,25,8,94117,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
122,561,26,7,28965,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
123,562,26,3,21590,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
124,576,26,9,70137,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
125,553,26,4,10356,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
126,578,26,9,65505,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
127,560,26,1,65896,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
128,571,26,4,74817,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
129,1464,27,6,35980,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
130,2418,28,9,56345,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
131,2406,28,4,96918,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
132,2413,28,4,36881,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
133,9,29,9,22582,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
134,4,29,4,4291,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
135,1,29,2,75107,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
136,2,29,10,67076,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
137,4,29,1,4291,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
138,6,29,6,15925,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
139,7,29,4,31163,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
140,6,29,1,15925,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
141,551,30,5,49948,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
142,575,30,6,1047,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
143,1135,31,10,74446,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
144,1135,31,3,74446,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
145,1136,31,1,94933,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
146,1136,31,6,94933,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
147,1129,31,4,24053,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
148,1133,31,8,65964,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
149,1133,31,9,65964,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
150,2046,32,4,14772,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
151,2046,32,10,14772,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
152,2046,32,8,14772,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
153,2042,32,6,60093,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
154,2043,32,10,77563,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
155,2048,32,9,1553,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
156,2042,32,5,60093,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
157,2052,32,5,87411,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
158,956,33,5,10933,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
159,956,33,10,10933,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
160,963,33,2,30323,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
161,951,33,8,29868,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
162,961,33,10,82216,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
163,2371,34,9,90367,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
164,2364,34,5,94583,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
165,2394,34,6,68536,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
166,2391,34,4,68007,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
167,2376,34,9,48491,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
168,2372,34,1,91927,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
169,1377,35,4,17933,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
170,1391,35,6,45989,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
171,1391,35,3,45989,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
172,2321,36,9,88102,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
173,2324,36,8,30485,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
174,2310,36,4,52356,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
175,854,37,2,37571,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
176,1808,38,3,65305,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
177,1802,38,4,63232,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
178,938,39,7,57632,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
179,925,39,5,38716,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
180,931,39,1,32321,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
181,934,39,8,45218,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
182,925,39,5,38716,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
183,924,39,3,40138,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
184,2247,40,10,17505,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
185,2263,40,5,63451,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
186,2249,40,10,82457,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
187,2269,40,3,53765,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
188,2268,40,4,37578,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
189,2276,41,9,56253,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
190,1210,42,2,15191,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
191,1202,42,3,68910,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
192,1190,42,1,91251,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
193,1185,42,2,14004,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
194,1218,42,7,22512,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
195,1220,42,9,15460,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
196,1293,43,7,2631,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
197,1290,43,9,30157,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
198,1326,43,8,85707,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
199,1282,43,9,62925,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
200,1286,43,1,40897,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
201,85,44,6,6853,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
202,84,44,1,88026,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
203,37,45,10,10781,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
204,52,45,8,85642,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
205,2089,46,1,98668,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
206,1056,47,5,91721,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
207,1229,48,1,54715,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
208,1221,48,1,43691,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
209,1400,49,7,27462,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
210,1411,49,10,62071,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
211,1403,49,7,96859,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
212,1418,49,9,91809,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
213,1421,49,3,91272,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
214,1415,49,4,97280,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
215,1407,49,5,56493,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
216,584,50,8,86112,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
217,588,50,10,31650,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
218,590,50,5,80827,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
219,585,50,5,65382,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
220,587,50,1,5003,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
221,1118,51,1,28509,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
222,1119,51,10,94378,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
223,1119,51,1,94378,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
224,1119,51,5,94378,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
225,1119,51,4,94378,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
226,1118,51,2,28509,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
227,2130,52,8,46139,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
228,2117,52,4,19490,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
229,2124,52,5,94618,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
230,2102,52,3,64411,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
231,2118,52,4,23307,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
232,2120,52,3,10678,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
233,738,53,8,40427,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
234,720,53,1,42842,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
235,702,53,8,21482,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
236,735,53,7,75044,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
237,209,54,8,23092,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
238,209,54,4,23092,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
239,207,54,1,32427,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
240,2431,55,1,59133,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
241,2403,55,7,53905,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
242,2419,55,8,79964,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
243,2397,55,3,4265,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
244,2406,55,2,96918,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
245,2398,55,5,71222,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
246,2411,55,10,59496,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
247,668,56,7,23467,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
248,674,56,7,99028,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
249,644,56,3,51226,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
250,675,56,6,85298,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
251,648,56,1,35490,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
252,657,56,8,61628,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
253,1800,57,1,65003,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
254,1792,57,4,22489,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
255,1787,57,1,10924,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
256,1808,57,5,65305,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
257,1783,57,9,61013,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
258,1801,57,9,55332,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
259,1798,57,7,82201,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
260,1803,57,6,37887,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
261,1729,58,9,58542,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
262,1730,58,2,12643,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
263,1729,58,7,58542,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
264,2266,59,8,10491,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
265,1138,60,5,31761,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
266,1140,60,7,87012,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
267,1135,60,2,74446,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
268,1132,60,6,21446,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
269,1134,60,3,90590,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
270,1127,60,4,70048,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
271,1129,60,4,24053,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
272,1867,61,5,8342,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
273,1855,61,3,2488,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
274,1872,61,3,32622,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
275,1863,61,3,13505,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
276,1883,61,9,83674,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
277,2359,62,9,98779,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
278,2340,62,10,70575,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
279,2341,62,9,28398,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
280,2329,62,4,89131,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
281,2337,62,8,56486,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
282,2342,62,7,31791,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
283,2330,62,1,45253,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
284,2334,62,4,97216,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
285,321,63,8,37750,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
286,320,63,8,62620,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
287,322,63,3,43120,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
288,328,63,1,17605,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
289,2301,64,1,53742,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
290,2301,64,5,53742,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
291,2302,64,5,3590,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
292,1869,65,4,18827,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
293,1853,65,5,25717,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
294,1876,65,4,84160,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
295,1867,65,10,8342,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
296,1332,66,1,71337,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
297,1368,66,7,27409,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
298,1356,66,4,25236,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
299,1330,66,9,67733,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
300,1067,67,6,37496,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
301,1053,67,9,56433,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
302,1065,67,3,64747,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
303,1066,67,4,49094,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
304,1056,67,2,91721,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
305,1069,67,5,25041,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
